,date,JPM,BAC,WFC,C,BK,JPM_ret,BAC_ret,WFC_ret,C_ret,BK_ret,port_ret,port_volume,quarter,DGS1,DGS10,DGS1MO,DGS2,DGS20,DGS3,DGS30,DGS3MO,DGS5,DGS6MO,DGS7,month,year,weekday,dayofweek,sentiment_bert,vader_neg,vader_neu,vader_pos,vader_compound,vader_compound_dummy,roberta_neg,roberta_neu,roberta_pos,roberta_compound,roberta_compound_dummy
585,2022-04-28,117.66693878173828,35.3365592956543,43.36968994140625,46.92744827270508,41.62189865112305,0.0158128045106953,0.0154483355261181,0.0132345816677961,0.0084677936673127,0.0262101427561294,0.0165741164185324,93.28703978708896,2022Q2,2.04,2.85,0.37,2.63,3.1,2.8,2.92,0.82,2.86,1.38,2.88,4.0,2022.0,3.0,Thursday,1.1785714285714286,0.0833392857142857,0.7920535714285714,0.1245982142857142,0.26106875,2.3660714285714284,0.1865299746111434,0.6000113060165729,0.2134587130733831,0.0269287384622397,2.0
586,2022-04-29,113.87000274658205,34.25178909301758,41.891075134277344,45.69525146484375,40.28111267089844,-0.0322685035785558,-0.03069824069629,-0.0340932759520891,-0.026257485825796,-0.0322134747254839,-0.0332521079921609,90.18504906581968,2022Q2,2.1,2.89,0.37,2.7,3.14,2.87,2.96,0.85,2.92,1.41,2.94,4.0,2022.0,4.0,Friday,1.070921985815603,0.0924042553191489,0.7760070921985815,0.1316241134751773,0.2114397163120567,2.2907801418439715,0.228254832510658,0.6012645792876575,0.1704805832164665,-0.0577742492941914,1.8865248226950355
587,2022-05-02,114.90987396240234,34.69337463378906,41.929473876953125,46.16917419433594,40.89404296875,0.009132090899607,0.0128923350418943,0.0009166330191501,0.0103713780819612,0.015216319937815,0.0059024101521094,90.71735821499423,2022Q2,2.1,2.99,0.41,2.73,3.26,2.93,3.07,0.9,3.01,1.49,3.04,5.0,2022.0,0.0,Monday,1.0606060606060606,0.0896818181818181,0.8166969696969697,0.093530303030303,0.0582272727272727,2.075757575757576,0.2480057780207557,0.6212363739808401,0.1307578459946494,-0.1172479320261063,1.7727272727272727
588,2022-05-03,117.37120056152344,35.64374923706055,42.39994812011719,47.48666763305664,41.28670120239258,0.0214196266538977,0.0273935474223334,0.0112206092674742,0.0285362140803102,0.0096018443063365,0.0133453092685848,91.92800941640236,2022Q2,2.16,2.97,0.48,2.78,3.21,2.95,3.03,0.91,3.01,1.45,3.03,5.0,2022.0,1.0,Tuesday,1.1012658227848102,0.0776455696202531,0.7963417721518987,0.1259746835443038,0.2978936708860759,2.4177215189873418,0.2129919885162593,0.58445628251456,0.2025517310734979,-0.0104402574427614,2.0126582278481013
589,2022-05-04,121.25399780273438,37.07410430908203,44.14741134643555,49.50556182861328,42.90522384643555,0.0330813455313994,0.0401291980399827,0.0412138057661739,0.0425149688573058,0.0392020335097436,0.0388582658431009,95.500172444732,2022Q2,2.07,2.93,0.49,2.66,3.21,2.85,3.01,0.89,2.93,1.44,2.97,5.0,2022.0,2.0,Wednesday,1.25,0.07115,0.80281,0.12602,0.309955,2.39,0.1782625691150314,0.6388295915722847,0.1829078425839543,0.0046452734689228,1.97
590,2022-05-05,118.22026824951172,36.03733825683594,43.210975646972656,48.6335563659668,42.23482894897461,-0.0250196249871956,-0.0279646958859129,-0.0212115653195257,-0.0176142928276491,-0.0156250180598144,-0.0209499348202409,93.49945005669308,2022Q2,2.08,3.05,0.49,2.71,3.35,2.91,3.15,0.85,3.01,1.37,3.07,5.0,2022.0,3.0,Thursday,1.1893939393939394,0.0789545454545454,0.8036818181818182,0.1173939393939394,0.2478848484848484,2.393939393939394,0.1985016667943758,0.630899004920414,0.1705993300420231,-0.0279023367523526,1.9696969696969695
591,2022-05-06,118.02946472167967,35.9509391784668,43.008243560791016,48.92738342285156,41.909210205078125,-0.0016139662906985,-0.0023974877876212,-0.0046916803693101,0.0060416526949771,-0.0077097209104333,-0.0045816959730219,93.07106400288856,2022Q2,2.08,3.12,0.48,2.72,3.43,2.94,3.23,0.85,3.06,1.41,3.13,5.0,2022.0,4.0,Friday,1.101123595505618,0.0961348314606741,0.7951123595505618,0.1087752808988764,0.0979337078651685,2.168539325842697,0.2832254773958094,0.6195743038748087,0.0972002243696387,-0.1860252530261706,1.6741573033707866
592,2022-05-09,116.25501251220705,34.91416931152344,42.43865966796875,47.2876205444336,41.38247299194336,-0.0150339765892939,-0.0288384640467013,-0.0132435981027027,-0.0335142156335322,-0.0125685311309192,-0.0135707019311828,91.80802433488732,2022Q2,1.99,3.05,0.51,2.61,3.38,2.81,3.19,0.92,2.95,1.43,3.04,5.0,2022.0,0.0,Monday,1.2023809523809523,0.1002738095238095,0.7841785714285714,0.1155238095238095,0.0949273809523809,2.130952380952381,0.2687720166341889,0.600148951723462,0.1310790369752794,-0.1376929796589095,1.738095238095238
593,2022-05-10,113.4216079711914,34.32858657836914,41.589115142822266,46.20709228515625,41.14305114746094,-0.024372321500702,-0.0167720654594243,-0.0200181752155498,-0.0228501296287901,-0.0057855857123143,-0.0180578871352607,90.15016539333664,2022Q2,2.01,2.99,0.57,2.62,3.31,2.81,3.12,0.89,2.91,1.44,2.99,5.0,2022.0,1.0,Tuesday,1.1919191919191918,0.0932121212121212,0.7982626262626263,0.1084747474747474,0.1103797979797979,2.171717171717172,0.2432633239700637,0.6249212028101238,0.1318154728152986,-0.111447851154765,1.808080808080808
594,2022-05-11,112.70612335205078,34.14619445800781,41.09676361083984,45.17394256591797,40.63546752929688,-0.0063081861731527,-0.0053131264214721,-0.0118384709626937,-0.0223591156280174,-0.012337043656408,-0.0106278934893769,89.19205903748656,2022Q2,1.99,2.91,0.59,2.66,3.25,2.81,3.05,0.91,2.89,1.43,2.94,5.0,2022.0,2.0,Wednesday,1.125,0.0725357142857142,0.8077410714285714,0.1195982142857142,0.2668946428571428,2.383928571428572,0.2036403533857082,0.6467388453228133,0.1496207996637427,-0.0540195537219655,1.8839285714285716
595,2022-05-12,112.6107177734375,33.66621017456055,40.363067626953125,44.131324768066406,40.999393463134766,-0.000846498626479,-0.0140567431031747,-0.017852889605477,-0.0230800709132299,0.0089558692434263,-0.0081756563573614,88.46285541299056,2022Q2,1.96,2.84,0.61,2.56,3.22,2.73,3.0,0.96,2.81,1.44,2.86,5.0,2022.0,3.0,Thursday,1.101010101010101,0.0697777777777777,0.809989898989899,0.1202222222222222,0.2605696969696969,2.3535353535353534,0.2021444081634546,0.6328902367239047,0.1649653577255178,-0.0371790504379367,1.9494949494949492
